comment_text,整潔舒適,設施,服務,地點,性價比,其他,整潔舒適情緒,設施情緒,服務情緒,地點情緒,性價比情緒,其他情緒,整體情緒
浴室環境能再改善,0,1,0,0,0,0,0,3,0,0,0,0,3
冷氣吹出來有味道，很臭,1,1,0,0,0,0,3,3,0,0,0,0,3
浴巾破掉有點傻眼,0,1,0,0,0,0,0,3,0,0,0,0,3
 廁所馬桶的水壓不足，沖不乾淨十分困擾。 床墊太軟，支撐力不足，睡起來腰酸背痛。,0,1,0,0,0,0,0,3,0,0,0,0,3
按摩浴缸不好，容易滑倒，泡的也不舒服。簡單方形的最好最舒服，舒適感極差,1,1,0,0,0,0,3,3,0,0,0,0,3
電視收看youtube頻道時常有斷訊的情況發生，斷訊後就當掉動彈不得。進出旅館就得繳交房卡。,0,1,0,0,0,0,0,3,0,0,0,0,3
房間枕頭不乾淨，棉被蓋起來也很癢,1,1,0,0,0,0,3,3,0,0,0,0,3
有股怪味，浴室有尿漬和尿騷味,1,1,0,0,0,0,3,3,0,0,0,0,3
有陳舊味，不是很好聞，浴室排水孔有頭髮,1,1,0,0,0,0,3,3,0,0,0,0,3
衛生方面有一顆枕頭不知道沒換到還是枕套清潔有問題超臭，還好另一顆枕頭是好的不知道哪間的房客一直在房裡抽菸，整個空調都是菸味雖然房客抽菸這屬於房客問題不過枕頭和整體衛生還是希望能加強督察，會讓整體更好,1,1,0,0,0,0,3,3,0,0,0,0,3
浴室很大，但有水溝味，建議可放除臭劑，並可多設浴室櫥櫃，減少空間浪費,1,1,0,0,0,0,3,1,0,0,0,0,3
設備簡單，備品基本，沒有大毛巾，也建議自備洗臉毛巾。床舖還可以接受，沒有到舒適的程度。,1,1,0,0,0,0,3,1,0,0,0,0,3
冷氣風口冷，但被子又不太透氣，環境乾淨。,1,1,0,0,0,0,1,3,0,0,0,0,3
濕氣有點重但是有除濕機，整體而言非常棒,1,1,0,0,0,1,3,1,0,0,0,1,1
房間設計感是不錯，或許房間內跟地板是白色系所以一點髒會感覺清潔度比較沒那麼乾淨，這個價位可以接受。,1,1,0,0,1,0,3,1,0,0,1,0,1
地板上有些毛髮，冰箱放置在公用區距離東大門夜市很近，價錢合宜，樓下還有老闆開的餐廳；房內有附設陽台，熱水很快就有了。,1,1,0,1,1,0,3,1,0,1,1,0,1
室內的設計上非常有特色，是網美打卡的好地方，加上豐富的內容（零食、咖啡、飲料、備品），方便停車的形式，近交流道的位置與非常優異的早餐等等，對於想在繁忙生活中來個飯店小旅行的族群來說，確實還不賴！只不過如同幫主上面的介紹，在一些細節方面也確實暴露出了『汽車旅館』先天上的缺陷，像是整理不夠細膩、環境中的煙味等等，畢竟汽車旅館主力市場還是『休息』的客人，滾床單的客群流動性大，求取房間最大使用率的前提下，可能就忽略了細節，這部分希望可以再精進些！整體來說這間汽車旅館適合情侶來度個浪漫小假，拍拍照打打卡還是不賴的,1,1,1,1,0,0,3,1,1,1,0,0,1
